title,artist,top genre,year,bpm,danceability,energy,loudness,liveness,valence,duration _s,acousticness,speechiness,popularity
Love Is Gone - Acoustic,SLANDER,brostep,2019,140,15,54,-6,16,36,177,88,3,58
Love Is Gone,SLANDER,brostep,2019,150,47,45,-6,10,8,256,6,3,63
Lost on You,Yellow Claw,bass trap,2018,200,60,44,-6,11,36,201,52,8,47
Lost in You,khai dreams,indie pop,2017,90,61,77,-6,12,79,101,33,11,72
Lost Lately - pure alternative version,San Holo,edm,2019,123,53,50,-6,33,47,243,77,5,37
Lost Lately - 3LAU Remix,San Holo,edm,2019,130,73,65,-6,14,60,195,2,5,41
Lost Lately,San Holo,edm,2019,130,59,66,-6,11,53,219,59,9,46
Lost In Japan - Recorded at Spotify Studios NYC,Shawn Mendes,canadian pop,2018,102,51,44,-6,6,54,215,72,6,59
Lost (feat. xo sad),Kayzo,brostep,2019,140,77,76,-6,6,18,261,3,6,34
Lost,ILLENIUM,edm,2017,135,62,67,-6,10,33,200,10,5,58
Lose My Mind (feat. Mr Gabriel) [Luttrell Remix],Jai Wolf,edm,2019,123,84,50,-6,19,37,265,1,3,59
"Lookin 4 (Feat. Joyce Wrice, Devin Morrison)",Crush,k-pop,2019,123,47,61,-6,16,44,284,61,34,48
Lonely Without U,demxntia,emo rap,2019,168,48,62,-6,21,63,186,52,5,29
Lonely Together - Acoustic,Avicii,big room,2017,103,42,46,-6,17,51,182,82,4,58
Lonely (with Chandler Leighton),ILLENIUM,edm,2019,93,40,45,-6,29,13,271,60,3,59
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,2019,192,76,69,-6,10,37,185,28,22,84
Lip Gloss,Lil Mama,hip pop,2007,189,87,62,-6,6,94,220,41,50,64
Level Up,Ciara,dance pop,2019,153,83,75,-6,12,58,204,1,17,68
Let's Fall in Love for the Night,FINNEAS,electropop,2018,128,41,74,-6,17,37,190,80,10,83
Let Me Down Slowly,Alec Benjamin,pop,2018,150,56,65,-6,12,48,169,74,3,86
Let Light Out (feat. Sunnie Williams),ARMNHMR,brostep,2019,145,62,35,-6,12,15,230,17,3,36
Let Go (feat. Fiora) - Festival Mix,Seven Lions,brostep,2019,128,51,43,-6,13,8,277,69,4,47
Lemon - Edit,N.E.R.D,hip hop,2017,190,71,81,-6,36,15,147,0,31,58
"Left, Right",YG,cali rap,2014,95,73,78,-6,68,22,233,4,35,57
Lay It On Me (feat. Keiynan Lonsdale),Kasbo,catstep,2018,100,58,56,-6,12,15,224,34,7,56
LOVE (with Elohim),Louis The Child,edm,2018,100,59,71,-6,38,25,213,7,19,44
LA Never Says Goodbye (feat. Kyle Pavone),Kayzo,brostep,2019,77,67,27,-6,7,8,288,0,4,44
Kill Em With Kindness - Acoustic,Selena Gomez,dance pop,2017,95,16,54,-6,10,15,213,92,3,61
KAMIKAZE (VIP),GRAVEDGR,bass trap,2019,95,98,34,-6,51,18,190,0,6,44
Just For A Moment (feat. Iselin),Gryffin,dance pop,2019,144,78,54,-7,27,41,253,1,5,65
Juicy,Doja Cat,la indie,2019,170,70,77,-7,7,43,200,8,6,75
It`s you,JEONG SEWOON,k-pop,2018,131,42,38,-7,9,26,220,72,3,59
Is It Really Me You're Missing,Nina Nesbitt,dance pop,2019,148,30,54,-7,12,5,233,65,7,69
In Your Head - RL Grime Edit,G Jones,brostep,2019,150,99,46,-7,22,7,178,0,35,53
In Your Arms (with X Ambassadors),ILLENIUM,edm,2019,148,81,40,-7,11,11,221,20,5,77
In My Blood - Acoustic,Shawn Mendes,canadian pop,2018,140,52,57,-7,14,24,213,73,3,63
In Flames,Dabin,canadian electronic,2019,92,73,48,-7,10,30,205,1,4,54
ILYSB - STRIPPED,LANY,la pop,2015,84,39,66,-7,11,17,245,55,6,72
ID,Boombox Cartel,bass trap,2018,150,92,67,-7,10,28,205,39,4,49
ICY GRL,Saweetie,cali rap,2018,103,56,93,-7,7,84,109,3,18,71
I'm in Love (Piano Remix),Ra. D,k-indie,2009,74,28,46,-7,14,41,235,92,6,45
"I'm Not the Only One - Live from Spotify, London",Dua Lipa,dance pop,2016,176,27,46,-7,69,32,196,86,5,70
I Will Go To You Like the First Snow,Ailee,k-pop,2017,134,43,50,-7,15,17,230,66,3,60
I Wanna Know - Acoustic,NOTD,dance pop,2018,120,40,67,-7,18,39,201,76,4,58
I Still See Your Face - Flaws Remix,San Holo,edm,2017,126,57,69,-7,14,23,185,38,5,40
I Miss You (feat. Julia Michaels) - Acoustic,Clean Bandit,dance pop,2017,105,31,56,-7,8,49,216,87,3,59
I Love You 3000 II,88rising,pop,2019,180,34,44,-7,41,35,210,85,7,70
I Have Ur Back,Ghastly,brostep,2019,128,57,71,-7,10,37,218,5,5,44
I Don't Miss U,BUMZU,k-hop,2018,80,63,60,-7,27,40,223,57,4,42
I Care - Intro,ILLENIUM,edm,2019,182,8,16,-7,15,4,33,86,4,51
Hurts (feat. Louis The Child & Whethan),Wafia,australian hip hop,2019,129,56,75,-7,55,35,201,17,5,57
How To Never Stop Being Sad,dandelion hands,lo-fi beats,2013,97,25,41,-7,10,13,131,95,4,59
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,houston rap,2019,99,81,87,-7,21,57,199,0,16,77
Honey Whiskey,SATICA,indie electropop,2017,140,66,50,-7,11,20,185,7,12,45
Holy,Kayzo,brostep,2017,150,95,26,-7,13,23,230,1,23,41
"Hold On, We're Going Home - Live [Live]",Lykke Li,art pop,2015,138,40,23,-7,17,22,304,67,3,38
Hold On (with Georgia Ku),ILLENIUM,edm,2019,76,74,51,-7,52,40,235,5,4,63
Hero,Said the Sky,edm,2019,78,67,56,-7,11,26,249,17,5,56
Here With Me (feat. Nevve),ARMNHMR,brostep,2020,145,78,38,-7,20,41,205,38,4,44
"Hello, Anxiety",Phum Viphurit,bedroom pop,2019,126,50,84,-7,10,81,265,59,4,61
Hell on Earth,Rezz,brostep,2019,180,92,60,-7,21,28,185,0,13,54
Haute (feat. J Balvin & Chris Brown),Tyga,pop rap,2019,103,72,95,-7,6,35,161,8,11,68
Hard To Say Goodbye (feat. Chloe Angelides),Ekali,bass trap,2019,153,76,55,-7,10,36,197,8,5,61
Happy Now - Acoustic,Zedd,complextro,2018,161,33,63,-7,12,55,152,90,7,58
Happier - Stripped,Marshmello,brostep,2018,94,31,63,-7,20,15,251,74,3,57
HIGHEST IN THE ROOM,Travis Scott,rap,2019,76,43,60,-7,21,6,176,5,3,89
Gravity,yetep,pop edm,2018,146,73,49,-7,13,16,207,15,5,46
Gorgeous (& Blanke with Bipolar Sunshine),ILLENIUM,edm,2019,180,88,52,-7,33,29,277,5,12,55
Goodbye To A World,Porter Robinson,big room,2014,96,35,44,-7,8,10,329,45,5,59
Good Together,SHY Martin,electropop,2017,120,42,60,-7,11,30,205,20,7,56
Good Things Fall Apart (with Jon Bellion) [Travis Barker Remix],ILLENIUM,edm,2019,75,88,49,-7,32,40,210,0,4,56
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,edm,2019,130,81,56,-8,8,50,247,1,5,66
Good Things Fall Apart (with Jon Bellion) - Stripped,ILLENIUM,edm,2019,150,31,57,-8,10,65,208,76,3,60
Good Things Fall Apart (with Jon Bellion),ILLENIUM,edm,2019,144,60,64,-8,12,42,217,1,3,70
Going Bad (feat. Drake),Meek Mill,hip hop,2018,86,50,89,-8,25,54,181,26,9,84
Goddamn (feat. A Boogie wit da Hoodie),Tyga,pop rap,2019,105,57,95,-8,12,42,211,7,23,67
Glocks (feat. Milano The Don),Riot Ten,brostep,2019,75,87,65,-8,10,20,167,1,12,44
Girls Have Fun (feat. G-Eazy & Rich The Kid),Tyga,pop rap,2019,100,74,89,-8,22,66,176,1,24,67
Get Wicked,WAVEDASH,brostep,2019,150,95,50,-8,10,12,195,0,44,30
Get Silly,V.I.C.,atl hip hop,2008,75,81,85,-8,6,67,227,8,35,56
Get Low featuring Ying Yang Twins,Lil Jon & The East Side Boyz,atl hip hop,2011,101,62,77,-8,12,15,334,3,4,65
Gasolina,Daddy Yankee,latin,2004,96,80,86,-8,8,75,193,33,6,77
Gas Pedal,Sage The Gemini,dance pop,2014,97,54,84,-8,12,43,208,3,8,68
Fuckboy,BAUM,indie electropop,2020,125,76,66,-8,12,64,180,17,4,42
Friends & Foes (feat. Snoop Dogg),Higher Brothers,chinese hip hop,2019,95,62,93,-8,10,9,187,24,19,48
Freesol (feat. Skyler Stonestreet) - Blastoyz & Ranji Remix,Seven Lions,brostep,2019,142,94,56,-8,9,45,257,3,6,47
Free (with Drew Love),Louis The Child,edm,2019,125,56,65,-8,14,17,222,1,4,69
Freaky,Tory Lanez,canadian hip hop,2018,105,56,97,-8,11,36,174,0,6,71
Freak Bitch,Blueface,cali rap,2018,100,54,88,-8,22,41,106,39,49,52
Formula,RL Grime,bass trap,2019,70,98,19,-8,12,4,210,4,39,61
"Fire On Fire - From ""Watership Down""",Sam Smith,pop,2018,115,41,58,-8,18,34,247,48,5,81
Find You - Acoustic,Nick Jonas,dance pop,2017,126,50,73,-8,9,27,195,42,4,46
Fight For Love (feat. Micah Martin),Kayzo,brostep,2019,147,86,65,-8,18,56,262,1,7,29
Fendi (feat. Nicki Minaj & Murda Beatz),PnB Rock,melodic rap,2019,155,87,81,-8,11,57,181,7,28,61
Feelings,Lauv,pop,2020,103,47,69,-8,10,25,190,9,4,80
Feel Something (With I Prevail),ILLENIUM,edm,2020,76,88,43,-8,9,11,221,0,8,71
Fangs,Ghastly,brostep,2019,126,93,71,-8,7,10,223,0,10,44
Falling Down - Travis Barker Remix,Lil Peep,emo rap,2019,127,80,45,-8,34,15,241,4,6,57
Faking It,Sasha Sloan,electropop,2018,81,37,65,-8,21,24,167,32,6,54
Fake & True,TWICE,k-pop,2019,126,81,68,-8,29,77,220,6,6,59
FOR YOUR EYES ONLY,Cashmere Cat,downtempo,2019,85,43,44,-8,12,15,189,90,3,48
FEELING GUD,NGHTMRE,bass trap,2020,174,94,48,-9,27,33,191,1,26,62
F.N,Lil Tjay,melodic rap,2019,120,52,57,-9,8,32,224,35,25,83
Evolution,Excision,brostep,2019,75,95,50,-9,44,14,220,2,33,46
Every Piece Of Me (with Echos),ILLENIUM,edm,2019,119,32,34,-9,23,44,223,51,4,52
Evergreen,sad boy with a laptop,lo-fi beats,2020,85,59,66,-9,38,49,215,81,38,30
Euphoria,Chymes,australian electropop,2019,96,18,69,-9,14,38,190,96,10,52
"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane) - Malaa Remix",DJ Snake,dance pop,2019,124,67,74,-9,5,49,265,0,8,46
Electricity - Acoustic,Silk City,edm,2018,118,39,50,-9,11,32,253,65,3,58
Eastside (with Halsey & Khalid) - Acoustic,benny blanco,electropop,2018,90,49,69,-9,17,87,173,71,3,60
EMOTIONS,Cashmere Cat,downtempo,2019,106,52,64,-9,14,16,173,5,5,43
Dusk Till Dawn,Amanda Yang,viral pop,2017,75,32,53,-9,10,17,209,85,3,55
Drown the Sky,William Black,bass trap,2019,145,71,50,-9,11,24,222,26,4,53
Drop It Low feat Ester Dean,Lil Wayne,hip hop,2010,176,67,62,-9,10,61,79,2,40,43
Drifting Away,khai dreams,indie pop,2017,120,27,52,-9,7,27,193,74,4,67
Dream Dream Dream,Madeon,big room,2019,65,56,37,-9,18,19,235,13,3,52
Dream Boy (JVNA Remix),Waterparks,indie pop,2019,130,83,48,-9,11,10,192,0,5,43
Donk,Soulja Boy,atl hip hop,2007,93,86,93,-9,5,78,193,2,27,54
Don't You Worry Child - Acoustic Version,Swedish House Mafia,big room,2012,102,79,55,-9,32,54,258,41,3,58
Don't Drop That Thun Thun,Finatticz,,2012,98,42,93,-9,6,62,202,6,29,29
Does She Know,Kiana Valenciano,pinoy indie,2017,114,64,75,-9,9,67,232,15,21,48
Do You Like Bass?,Yellow Claw,bass trap,2017,150,98,61,-9,23,15,195,0,30,49
Dior,Pop Smoke,rap,2019,142,81,55,-9,41,65,216,21,35,85
Did You,4B,brostep,2019,134,82,57,-9,79,19,191,5,19,54
Deepthroat,cupcakKe,chicago rap,2016,98,65,93,-9,20,40,199,18,26,61
Dark Skies,Kayzo,brostep,2019,155,93,62,-9,49,14,223,1,12,37
Dancing With Your Ghost,Sasha Sloan,electropop,2019,75,33,63,-10,10,38,198,76,3,77
Dancing With A Stranger (With Normani) - Acoustic,Sam Smith,pop,2019,100,28,62,-10,15,31,188,89,3,65
Dance (A$$),Big Sean,detroit hip hop,2011,160,70,76,-10,13,70,198,2,34,51
Daddy (feat. Rich The Kid),Blueface,cali rap,2019,108,59,87,-10,24,48,151,7,26,77
DEADSONG (REVEL REMIX),graves,bass trap,2020,140,96,56,-10,42,26,214,1,48,39
Cruel Love (feat. shYbeast & FRANK ZUMMO),Kayzo,brostep,2019,83,79,62,-10,5,28,209,0,4,48
Crazy,New Hope Club,boy band,2020,171,61,65,-10,13,67,236,21,22,35
Crawl Outta Love - The Glitch Mob Remix,ILLENIUM,edm,2018,93,80,48,-10,58,4,310,1,9,44
Crashing (feat. Bahari),ILLENIUM,edm,2019,96,68,58,-10,19,27,230,34,5,63
Crashing (feat. Bahari),ILLENIUM,edm,2019,96,68,58,-10,19,27,230,34,5,68
Counting Stars (Switching Vocals),Fly By Nightcore,nightcore,2019,143,60,57,-10,22,60,171,17,5,57
Come Away (Feat.__),SHALLYN,,2018,95,64,81,-10,58,74,225,33,15,31
Chicken Soup,Skrillex,brostep,2017,126,82,82,-10,60,47,207,0,13,59
Chemicals,JVNA,electra,2019,150,87,47,-10,14,15,219,0,6,37
Chasing Fire - Stripped – Live in London,Lauv,pop,2018,80,17,59,-10,20,40,213,90,8,51
Cashin' Out,Ca$h Out,atl hip hop,2012,130,67,83,-10,6,66,239,15,7,57
Cash Shit (feat. DaBaby),Megan Thee Stallion,houston rap,2019,130,64,92,-10,9,55,193,2,42,79
Candy Shop,50 Cent,east coast hip hop,2005,125,57,61,-10,38,76,209,3,47,79
Camped,RINI,australian r&b,2018,133,38,63,-10,13,34,221,69,4,48
COLLIDER,Shadient,experimental bass,2018,100,69,71,-10,16,22,183,1,15,32
CASH COW,NGHTMRE,bass trap,2019,136,72,73,-10,11,29,222,4,8,64
Bye Bye (feat. Ivy Adara),Gryffin,dance pop,2019,148,78,61,-10,17,54,210,1,9,63
By My Side,MitiS,brostep,2018,170,79,49,-11,7,15,191,40,5,50
Butterflies,William Black,bass trap,2020,145,72,56,-11,21,26,202,17,4,56
Bruises,NGHTMRE,bass trap,2019,95,62,62,-11,65,37,202,4,9,51
Broken Ones (with Anna Clendening),ILLENIUM,edm,2019,150,67,55,-11,37,25,198,15,9,57
Broken,SLANDER,brostep,2019,150,96,42,-11,19,28,198,1,13,48
Broke,Jennifer Chung,viral pop,2017,115,61,70,-11,10,66,261,68,42,27
Bring It Back,Travis Porter,atl hip hop,2012,98,76,94,-11,11,55,218,12,9,58
Breathe - Acoustic,Jax Jones,dance pop,2018,122,34,71,-11,9,58,231,83,3,50
Breathe,88rising,pop,2019,113,52,54,-11,30,8,125,59,8,63
Breathe,Lauv,pop,2018,137,39,32,-11,34,19,238,73,4,66
Breaking Through,Excision,brostep,2019,145,98,51,-11,53,26,218,0,41,39
Booty Me Down,Kstylis,pop rap,2013,75,47,89,-11,30,27,213,2,8,57
Bones,Excision,brostep,2019,145,99,60,-11,7,16,185,7,21,37
Blue Hunnids,Kool John,cali rap,2015,144,25,90,-11,11,13,197,2,22,54
Blow the Whistle,Too $hort,cali rap,2006,100,63,91,-12,15,61,163,0,20,61
Blood (with Foy Vance),ILLENIUM,edm,2019,75,90,36,-12,37,10,248,8,16,51
Big Booty (feat. Megan Thee Stallion),Gucci Mane,atl hip hop,2019,160,77,83,-12,11,44,129,3,22,68
Better Now,Oh Wonder,electropop,2020,114,36,57,-12,14,51,198,75,5,55
Behemoth VIP,SVDDEN DEATH,brostep,2019,140,88,85,-12,3,56,115,8,33,46
Before The Storm,Kayzo,brostep,2019,90,88,52,-12,37,16,293,0,6,49
Be Fine (feat. Wafia),Ekali,bass trap,2019,180,68,51,-12,35,44,160,20,14,52
Be Fine,Madeon,big room,2019,94,84,55,-12,28,45,208,1,4,47
Be Alright - Acoustic,Dean Lewis,australian pop,2018,126,34,68,-12,32,43,198,86,6,58
Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz),Juicy J,crunk,2013,131,74,87,-12,14,58,279,0,28,63
Bali (with Guapdad 4000),Rich Brian,indonesian hip hop,2020,130,65,86,-12,23,65,199,1,5,71
Baggage (with AlunaGeorge),Gryffin,dance pop,2019,123,81,64,-13,46,59,197,1,6,59
Back That Azz Up,Juvenile,bounce,1998,96,71,87,-13,10,54,266,2,13,66
Baby Shark - Jauz Remix,Pinkfong,cartoon,2019,128,99,74,-13,12,68,217,10,3,54
Babushka Boi,A$AP Rocky,east coast hip hop,2019,135,74,90,-13,14,91,187,30,22,75
BANG,NGHTMRE,bass trap,2019,144,99,68,-13,30,18,204,0,9,56
Attention - Acoustic,Charlie Puth,dance pop,2017,200,51,53,-13,12,96,207,59,7,61
Anxiety,TRACE,electropop,2018,110,42,69,-14,8,13,210,5,3,33
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,72,-14,36,91,162,13,5,59
Antidance,Kayzo,brostep,2019,170,94,53,-14,32,23,291,0,11,35
Another Me (with Dylan Matthew),Seven Lions,brostep,2019,75,89,45,-14,15,30,208,2,5,58
Angel - Lonely Prelude,ILLENIUM,edm,2019,69,52,28,-15,33,30,41,99,6,53
Already Know,Adventure Club,brostep,2019,140,65,47,-15,11,27,231,43,4,56
Alpine,Linying,singaporean pop,2016,140,38,32,-15,9,8,218,79,5,18
Alone,Crush,k-pop,2019,126,16,48,-15,12,33,265,92,3,51
Alone,Kayzo,brostep,2019,78,95,43,-15,12,23,186,2,13,46
All of Our Friends Know,Linying,singaporean pop,2019,146,43,79,-15,21,56,200,65,6,24
All You Need To Know (feat. Calle Lehmann) - JVNA Remix,Gryffin,dance pop,2019,150,83,43,-16,45,18,207,1,7,43
All You Need To Know (feat. Calle Lehmann),Gryffin,dance pop,2019,140,73,53,-16,10,22,238,1,4,68
All Together (with OEKIIN),ILLENIUM,edm,2019,130,69,44,-16,16,19,239,7,4,53
All Into Nothing,R3HAB,big room,2018,100,76,57,-17,39,21,161,4,5,58
All I Got,Said the Sky,edm,2018,145,58,33,-18,57,10,316,16,5,62
Ain't Scared (feat. Hashu),Riot Ten,brostep,2019,150,95,52,-18,11,27,203,0,35,58
Again,Sasha Sloan,electropop,2018,149,55,62,-18,9,63,194,77,5,57
ARK,Kayzo,brostep,2019,145,88,53,-19,10,18,232,1,19,34
223's (feat. 9lokknine),YNW Melly,melodic rap,2019,95,55,93,-21,9,70,177,4,33,80
12:45 - Stripped,Etham,indie anthem-folk,2018,164,21,46,-21,13,40,179,63,4,65